Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,Hạng nguy hiểm cháy và cháy nổ của nhà,"Lưu lượng nước chữa cháy ngoài nhà đối với nhà không có lỗ mở trên mái có chiều rộng từ 60 m trở lên, tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3","Lưu lượng nước chữa cháy ngoài nhà đối với nhà không có lỗ mở trên mái có chiều rộng từ 60 m trở lên, tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3","Lưu lượng nước chữa cháy ngoài nhà đối với nhà không có lỗ mở trên mái có chiều rộng từ 60 m trở lên, tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3","Lưu lượng nước chữa cháy ngoài nhà đối với nhà không có lỗ mở trên mái có chiều rộng từ 60 m trở lên, tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3","Lưu lượng nước chữa cháy ngoài nhà đối với nhà không có lỗ mở trên mái có chiều rộng từ 60 m trở lên, tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3","Lưu lượng nước chữa cháy ngoài nhà đối với nhà không có lỗ mở trên mái có chiều rộng từ 60 m trở lên, tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3","Lưu lượng nước chữa cháy ngoài nhà đối với nhà không có lỗ mở trên mái có chiều rộng từ 60 m trở lên, tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3","Lưu lượng nước chữa cháy ngoài nhà đối với nhà không có lỗ mở trên mái có chiều rộng từ 60 m trở lên, tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3","Lưu lượng nước chữa cháy ngoài nhà đối với nhà không có lỗ mở trên mái có chiều rộng từ 60 m trở lên, tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3"
Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,Hạng nguy hiểm cháy và cháy nổ của nhà,≤ 50,> 50 và ≤ 100,> 100 và ≤ 200,> 200 và ≤ 300,> 300 và ≤ 400,> 400 và ≤ 500,> 500 và ≤ 600,> 600 và ≤ 700,> 700
I và II,S0,"A, B, C",20,30,40,50,60,70,80,90,100
I và II,S0,"D, E",10,15,20,25,30,35,40,45,50
